"CUT","SEQ","BUNDLE","BUNDLEX","BUNCUT","STYLE","COLOR","ROOMNUMBER","WEIGHT","WIDTH","SIZE","QUANTITY","FIRSTTK","LASTTK","SHADE","STATUS","BUNDPRINTE","BOXDATE","BOX","FWIDTH","FLENGTH","ADFABRIC","FORMULA1","XTRA1","XTRA2","RS","FULLN","PNL","RTN","RPT","OC","cut.dbc","","","","","","",""
"N101","","1522","1","1","CVN10-BAG","FOREST","","NaN","","XS","51","1","13","1","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N101","","1523","1","2","CVN10-BAG","ROYAL","","NaN","","XS","51","14","26","2","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N101","","1524","1","3","CVN10-BAG","FOREST","","NaN","","SML","51","27","39","1","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N101","","1525","1","4","CVN10-BAG","ROYAL","","NaN","","SML","51","40","52","2","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N101","","1526","1","5","CVN10-BAG","FOREST","","NaN","","MED","51","53","65","1","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N101","","1527","1","6","CVN10-BAG","ROYAL","","NaN","","MED","51","66","78","2","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N101","","1528","2","7","CVN10-BAG","ROYAL","","NaN","","MED","51","79","91","3","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N101","","1529","1","8","CVN10-BAG","ROYAL","","NaN","","LRG","51","92","104","2","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N101","","1530","1","9","CVN10-BAG","ROYAL","","NaN","","XL","51","105","117","2","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N102","","1531","1","10","NMSHIRT","CARDI","","NaN","","XS","51","118","135","1","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N102","","1532","1","11","NMSHIRT","ROYAL","","NaN","","XS","51","136","153","2","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N102","","1533","1","12","NMSHIRT","CARDI","","NaN","","SML","51","154","171","1","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N102","","1534","1","13","NMSHIRT","ROYAL","","NaN","","SML","51","172","189","2","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N102","","1535","1","14","NMSHIRT","CARDI","","NaN","","MED","51","190","207","1","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N102","","1536","1","15","NMSHIRT","ROYAL","","NaN","","MED","51","208","225","2","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N102","","1537","2","16","NMSHIRT","ROYAL","","NaN","","MED","51","226","243","3","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N102","","1538","1","17","NMSHIRT","ROYAL","","NaN","","LRG","51","244","261","2","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"N102","","1539","1","18","NMSHIRT","ROYAL","","NaN","","XL","51","262","279","2","","","","","","0","","","","","NaN","NaN","NaN","NaN","0","NaN","","","","","","","",""
"T102","","1540","1","1","CVN10-BAG","CARDI","","NaN","","XS","50","280","290","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"T102","","1541","2","2","CVN10-BAG","CARDI","","NaN","","XS","50","291","301","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"T102","","1542","3","3","CVN10-BAG","CARDI","","NaN","","XS","50","302","312","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"T102","","1543","4","4","CVN10-BAG","CARDI","","NaN","","XS","50","313","323","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"T102","","1544","5","5","CVN10-BAG","CARDI","","NaN","","XS","50","324","334","5","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"T102","","1545","6","6","CVN10-BAG","CARDI","","NaN","","XS","50","335","345","6","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"T102","","1546","7","7","CVN10-BAG","CARDI","","NaN","","XS","50","346","356","7","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"T102","","1547","8","8","CVN10-BAG","CARDI","","NaN","","XS","50","357","367","8","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"T102","","1548","9","9","CVN10-BAG","CARDI","","NaN","","XS","10","368","378","9","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"W0922A","","1549","1","1","NMSHIRT","BLUE","","NaN","","XS","30","379","394","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"W0922A","","1550","1","2","NMSHIRT","ORANGE","","NaN","","XS","20","395","410","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"W0922A","","1551","2","3","NMSHIRT","ORANGE","","NaN","","XS","50","411","426","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"W0922A","","1552","3","4","NMSHIRT","ORANGE","","NaN","","XS","20","427","442","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"W0922A","","1553","1","5","NMSHIRT","BLUE","","NaN","","S","20","443","458","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"W0922A","","1554","2","6","NMSHIRT","BLUE","","NaN","","S","50","459","474","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"W0922A","","1555","3","7","NMSHIRT","BLUE","","NaN","","S","20","475","490","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"W0922A","","1556","1","8","NMSHIRT","ORANGE","","NaN","","S","10","491","506","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"W0922A","","1557","1","9","NMSHIRT","BLUE","","NaN","","M","10","507","522","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST0926","","1558","1","1","CBDS01","BLACK","","NaN","","XS","5","523","538","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST0926","","1559","1","2","CBDS01","BLACK","","NaN","","S","10","539","554","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST0926","","1560","1","3","CBDS01","BURGUNDY","","NaN","","S","4","555","570","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"TEST0926","","1561","1","4","CBDS01","BLACK","","NaN","","M","12","571","586","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"123","","1562","1","1","CBDS01","GREY SNA","","NaN","","S","21","587","602","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"123","","1563","2","2","CBDS01","GREY SNA","","NaN","","S","21","603","618","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"123","","1564","3","3","CBDS01","GREY SNA","","NaN","","S","7","619","634","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"123","","1565","1","4","CBDS01","GREY SNA","","NaN","","M","18","635","650","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"123","","1566","2","5","CBDS01","GREY SNA","","NaN","","M","18","651","666","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"123","","1567","3","6","CBDS01","GREY SNA","","NaN","","M","9","667","682","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"123","","1568","1","7","CBDS01","GREY SNA","","NaN","","L","10","683","698","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"123","","1569","2","8","CBDS01","GREY SNA","","NaN","","L","10","699","714","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"123","","1570","3","9","CBDS01","GREY SNA","","NaN","","L","5","715","730","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1571","1","1","MCMS0017","S.GREEN","","NaN","","SR","13","731","769","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1572","2","2","MCMS0017","S.GREEN","","NaN","","SR","13","770","808","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1573","3","3","MCMS0017","S.GREEN","","NaN","","SR","13","809","847","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1574","4","4","MCMS0017","S.GREEN","","NaN","","SR","13","848","886","4","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1575","1","5","MCMS0017","S.GREEN","","NaN","","MR","10","887","925","1","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1576","2","6","MCMS0017","S.GREEN","","NaN","","MR","9","926","964","2","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
"2972","","1577","3","7","MCMS0017","S.GREEN","","NaN","","MR","10","965","1003","3","","","","","","NaN","","","","","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","","",""
